smile,head_pitch,head_roll,head_yaw,gender,age,moustache,beard,sideburns,glasses,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,blurLevel,blurvalue,exposureLevel,exposurevalue,noiseLevel,noisevalue,eyeMakeup,lipMakeup,foreheadOccluded,eyeOccluded,mouthOccluded,bald,invisible
0.575,0.0,-0.9,-1.3,male,20.4,0.0,0.2,0.1,NoGlasses,0.0,0.004,0.0,0.0,0.575,0.42,0.0,0.0,medium,0.36,goodExposure,0.41,low,0.01,False,True,False,False,False,0.01,False
0.997,0.0,-1.2,2.3,male,26.6,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.997,0.003,0.0,0.0,medium,0.39,goodExposure,0.62,medium,0.34,False,False,False,False,False,0.01,False
1.0,0.0,0.8,1.6,female,20.5,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.61,goodExposure,0.5,low,0.08,False,False,False,False,False,0.01,False
0.676,0.0,0.3,-4.2,female,22.8,0.0,0.0,0.0,NoGlasses,0.0,0.001,0.0,0.0,0.676,0.323,0.0,0.0,medium,0.45,goodExposure,0.59,low,0.0,True,False,False,False,False,0.01,False
1.0,0.0,-1.1,-2.6,female,24.8,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,high,0.81,goodExposure,0.58,low,0.0,True,True,False,False,False,0.02,False
0.001,0.0,-0.6,-1.1,female,52.7,0.0,0.0,0.0,NoGlasses,0.015,0.006,0.001,0.001,0.001,0.968,0.007,0.002,medium,0.38,goodExposure,0.58,medium,0.55,False,False,False,False,False,0.01,False
1.0,0.0,-0.7,-3.3,female,50.7,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.27,goodExposure,0.62,medium,0.31,True,False,False,False,False,0.01,False
0.001,0.0,-0.3,-4.0,male,28.5,0.2,0.1,0.0,NoGlasses,0.0,0.002,0.0,0.0,0.001,0.996,0.001,0.0,low,0.23,goodExposure,0.56,medium,0.44,False,False,False,False,False,0.0,False
1.0,0.0,0.4,-1.6,male,26.6,0.1,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.26,goodExposure,0.59,medium,0.55,False,False,False,False,False,0.01,False
0.273,0.0,-0.8,-3.3,male,69.1,0.0,0.0,0.1,NoGlasses,0.0,0.004,0.001,0.0,0.273,0.719,0.002,0.002,medium,0.39,goodExposure,0.7,medium,0.67,False,False,False,False,False,0.05,False
0.985,0.0,-1.5,-0.6,male,66.4,0.0,0.0,0.1,NoGlasses,0.0,0.0,0.005,0.0,0.985,0.01,0.0,0.0,medium,0.37,goodExposure,0.69,medium,0.56,False,False,False,False,False,0.09,False
0.0,0.0,-0.8,3.7,male,29.0,0.2,0.2,0.0,NoGlasses,0.006,0.0,0.0,0.0,0.0,0.993,0.0,0.0,medium,0.26,goodExposure,0.6,low,0.21,False,True,False,False,False,0.01,False
0.0,0.0,-2.4,4.7,male,26.0,0.2,0.2,0.1,ReadingGlasses,0.0,0.006,0.0,0.0,0.0,0.993,0.0,0.0,medium,0.26,goodExposure,0.6,medium,0.34,True,True,False,False,False,0.01,False
1.0,0.0,0.8,1.6,female,20.5,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.61,goodExposure,0.5,low,0.08,False,False,False,False,False,0.01,False
1.0,0.0,-0.8,5.0,male,37.6,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.41,goodExposure,0.57,low,0.23,False,True,False,False,False,0.0,False
0.0,0.0,-2.3,-3.6,male,27.1,0.0,0.2,0.2,NoGlasses,0.0,0.001,0.0,0.0,0.0,0.998,0.001,0.0,medium,0.42,goodExposure,0.57,medium,0.4,False,False,False,False,False,0.05,False
1.0,0.0,-1.9,-4.0,male,28.1,0.2,0.2,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.34,goodExposure,0.56,medium,0.43,False,False,False,False,False,0.06,False
0.0,0.0,-0.2,-1.0,male,23.3,0.1,0.5,0.3,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.981,0.019,0.0,medium,0.26,goodExposure,0.44,low,0.26,False,False,False,False,False,0.01,False
0.999,0.0,1.8,2.2,male,22.3,0.2,0.3,0.3,NoGlasses,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0,medium,0.56,goodExposure,0.44,medium,0.33,False,False,False,False,False,0.0,False
0.0,0.0,-2.1,6.2,male,24.0,0.3,0.2,0.5,NoGlasses,0.001,0.0,0.0,0.0,0.0,0.99,0.008,0.001,low,0.15,goodExposure,0.43,low,0.0,False,False,False,False,False,0.0,False
0.995,0.0,-1.5,3.8,male,24.7,0.2,0.2,0.2,NoGlasses,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0,low,0.2,goodExposure,0.45,low,0.0,False,False,False,False,False,0.0,False
0.0,0.0,-1.6,-0.4,male,25.5,0.4,0.5,0.3,NoGlasses,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,low,0.24,goodExposure,0.55,low,0.25,False,False,False,False,False,0.02,False
1.0,0.0,-0.5,4.1,male,24.2,0.4,0.3,0.3,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.4,goodExposure,0.54,low,0.27,False,True,False,False,False,0.01,False
0.0,0.0,-2.5,-3.6,male,29.3,0.4,0.3,0.4,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,medium,0.47,goodExposure,0.62,low,0.28,True,False,False,False,False,0.03,False
0.999,0.0,-0.2,0.9,male,20.3,0.0,0.1,0.1,NoGlasses,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0,medium,0.31,goodExposure,0.59,low,0.19,False,False,False,False,False,0.03,False
1.0,0.0,-1.0,1.7,male,26.5,0.0,0.0,0.2,ReadingGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.37,goodExposure,0.58,low,0.08,True,True,False,False,False,0.01,False
1.0,0.0,-0.8,2.4,male,27.4,0.3,0.2,0.3,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.52,goodExposure,0.61,medium,0.41,False,False,False,False,False,0.03,False
0.0,0.0,-0.1,-2.7,female,34.7,0.0,0.0,0.0,ReadingGlasses,0.0,0.003,0.0,0.0,0.0,0.99,0.007,0.0,low,0.19,goodExposure,0.6,low,0.06,True,False,False,False,False,0.04,False
1.0,0.0,-0.6,1.5,female,34.7,0.0,0.0,0.0,ReadingGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.26,goodExposure,0.62,low,0.18,True,True,False,False,False,0.08,False
0.046,0.0,-1.5,2.0,male,32.1,0.1,0.1,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.046,0.952,0.0,0.001,medium,0.54,goodExposure,0.61,low,0.25,False,True,False,False,False,0.0,False
1.0,0.0,-0.2,0.3,male,31.9,0.0,0.1,0.2,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.52,goodExposure,0.6,low,0.17,False,False,False,False,False,0.0,False
0.0,0.0,-0.8,-0.6,female,21.7,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,low,0.08,goodExposure,0.56,low,0.2,True,False,False,False,False,0.02,False
1.0,0.0,0.2,0.8,female,22.3,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.31,goodExposure,0.57,low,0.28,True,True,False,False,False,0.01,False
0.0,0.0,2.1,-2.2,male,43.5,0.0,0.0,0.0,NoGlasses,0.002,0.006,0.0,0.0,0.0,0.991,0.001,0.0,medium,0.42,goodExposure,0.61,medium,0.65,False,False,False,False,False,0.02,False
0.995,0.0,1.6,1.5,male,44.3,0.1,0.1,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0.0,medium,0.54,goodExposure,0.56,medium,0.63,False,False,False,False,False,0.03,False
0.0,0.0,-1.6,1.8,female,23.2,0.0,0.0,0.0,NoGlasses,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,medium,0.36,goodExposure,0.5,low,0.01,True,False,False,False,False,0.01,False
0.999,0.0,-0.3,0.3,male,21.2,0.0,0.0,0.1,NoGlasses,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,medium,0.43,goodExposure,0.61,medium,0.35,False,False,False,False,False,0.03,False
0.0,0.0,-0.7,0.6,male,28.5,0.0,0.2,0.0,NoGlasses,0.0,0.003,0.0,0.0,0.0,0.997,0.0,0.0,medium,0.34,goodExposure,0.37,low,0.16,False,False,False,False,False,0.01,False
0.0,0.0,-1.2,1.2,male,29.6,0.4,0.2,0.2,NoGlasses,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,medium,0.29,goodExposure,0.64,low,0.16,False,False,False,False,False,0.02,False
1.0,0.0,-0.7,-0.5,male,25.8,0.0,0.1,0.1,NoGlasses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,medium,0.61,goodExposure,0.34,high,0.75,False,False,False,False,False,0.02,False
